WL(nm)	WV2 Coastal Blue	WV2 Blue	WV2 Green	WV2 Yellow	WV2 Red	WV2 RedEdge	WV2 NIR1	WV2 NIR2
822.5	0.0000625	0.0000509	0.0000000	0.0000099	0.0000090	0.0000001	0.8411890	0.0010891
825	0.0000716	0.0000510	0.0000000	0.0000183	0.0000079	0.0000001	0.8356570	0.0010416
827.5	0.0000692	0.0000429	0.0000006	0.0000115	0.0000043	0.0000003	0.8338190	0.0011403
830	0.0000699	0.0000566	0.0000051	0.0000093	0.0000108	0.0000002	0.8425480	0.0011270
832.5	0.0000721	0.0000641	0.0000042	0.0000135	0.0000045	0.0000002	0.8307770	0.0011706
835	0.0000593	0.0000635	0.0000018	0.0000106	0.0000070	0.0000002	0.8186040	0.0011509
837.5	0.0000474	0.0000645	0.0000005	0.0000113	0.0000065	0.0000001	0.8168370	0.0012061
840	0.0000512	0.0000686	0.0000003	0.0000119	0.0000062	0.0000003	0.8067110	0.0013547
842.5	0.0000388	0.0000662	0.0000004	0.0000076	0.0000064	0.0000003	0.8107600	0.0013002
845	0.0000287	0.0000780	0.0000008	0.0000120	0.0000084	0.0000002	0.7941610	0.0014918
847.5	0.0000282	0.0000785	0.0000003	0.0000127	0.0000069	0.0000004	0.7798840	0.0022310
850	0.0000423	0.0000748	0.0000001	0.0000171	0.0000027	0.0000004	0.7673130	0.0043284
852.5	0.0000284	0.0000557	0.0000023	0.0000114	0.0000065	0.0000002	0.7496020	0.0105836
855	0.0000276	0.0000449	0.0000086	0.0000067	0.0000063	0.0000008	0.7392710	0.0305957
857.5	0.0000314	0.0000383	0.0000047	0.0000086	0.0000065	0.0000008	0.7387140	0.1078530
860	0.0000321	0.0000324	0.0000017	0.0000089	0.0000051	0.0000019	0.7341450	0.3137460
862.5	0.0000255	0.0000264	0.0000002	0.0000068	0.0000071	0.0000039	0.7118330	0.5718840
865	0.0000155	0.0000202	0.0000001	0.0000044	0.0000092	0.0000088	0.6971410	0.7892690
867.5	0.0000168	0.0000219	0.0000017	0.0000064	0.0000108	0.0000112	0.6804620	0.9515410
870	0.0000152	0.0000214	0.0000013	0.0000049	0.0000067	0.0000114	0.6586350	0.9871440
872.5	0.0000173	0.0000236	0.0000017	0.0000058	0.0000079	0.0000077	0.6497810	0.9916770
875	0.0000183	0.0000270	0.0000010	0.0000060	0.0000041	0.0000047	0.6324710	0.9933630
877.5	0.0000163	0.0000351	0.0000002	0.0000049	0.0000043	0.0000043	0.6199080	0.9996910
880	0.0000163	0.0000351	0.0000117	0.0000019	0.0000086	0.0000104	0.6091200	0.9966910
882.5	0.0000211	0.0000308	0.0000095	0.0000039	0.0000062	0.0000084	0.5989920	0.9833270
885	0.0000168	0.0000297	0.0000112	0.0000036	0.0000072	0.0000076	0.5909140	0.9708560
887.5	0.0000132	0.0000280	0.0000091	0.0000029	0.0000061	0.0000074	0.5661070	0.9523600
890	0.0000099	0.0000215	0.0000090	0.0000033	0.0000039	0.0000089	0.5071120	0.9330200
892.5	0.0000096	0.0000221	0.0000085	0.0000030	0.0000055	0.0000118	0.4027990	0.9223760
895	0.0000092	0.0000192	0.0000077	0.0000031	0.0000048	0.0000153	0.2751740	0.9109220
897.5	0.0000160	0.0000175	0.0000067	0.0000047	0.0000050	0.0000190	0.1576670	0.8997670
900	0.0000189	0.0000185	0.0000077	0.0000039	0.0000057	0.0000174	0.0738047	0.8921120
902.5	0.0000195	0.0000174	0.0000070	0.0000043	0.0000051	0.0000171	0.0327870	0.8785650
905	0.0000168	0.0000181	0.0000060	0.0000039	0.0000042	0.0000183	0.0138147	0.8646450
907.5	0.0000153	0.0000187	0.0000055	0.0000038	0.0000044	0.0000187	0.0053908	0.8505250
910	0.0000145	0.0000178	0.0000061	0.0000033	0.0000040	0.0000180	0.0026246	0.8412980
912.5	0.0000112	0.0000187	0.0000069	0.0000028	0.0000035	0.0000190	0.0018086	0.8272570
915	0.0000095	0.0000184	0.0000062	0.0000025	0.0000035	0.0000157	0.0013063	0.8081800
917.5	0.0000074	0.0000172	0.0000066	0.0000021	0.0000040	0.0000145	0.0010328	0.7940050
920	0.0000062	0.0000158	0.0000066	0.0000020	0.0000027	0.0000127	0.0009172	0.7743770
922.5	0.0000047	0.0000142	0.0000058	0.0000017	0.0000031	0.0000102	0.0008912	0.7602820
925	0.0000040	0.0000148	0.0000060	0.0000018	0.0000032	0.0000081	0.0007983	0.7469060
927.5	0.0000040	0.0000135	0.0000054	0.0000018	0.0000024	0.0000062	0.0007457	0.7258480
930	0.0000030	0.0000130	0.0000054	0.0000010	0.0000031	0.0000045	0.0007272	0.7089670
932.5	0.0000033	0.0000131	0.0000049	0.0000014	0.0000027	0.0000039	0.0007833	0.6891840
935	0.0000025	0.0000118	0.0000040	0.0000013	0.0000021	0.0000032	0.0007011	0.6617200
937.5	0.0000030	0.0000109	0.0000036	0.0000013	0.0000017	0.0000025	0.0006553	0.6406300
940	0.0000030	0.0000106	0.0000035	0.0000007	0.0000017	0.0000020	0.0006028	0.6209290
942.5	0.0000034	0.0000099	0.0000035	0.0000008	0.0000016	0.0000016	0.0005579	0.5964570
945	0.0000036	0.0000088	0.0000029	0.0000009	0.0000013	0.0000015	0.0002812	0.5746850
947.5	0.0000042	0.0000079	0.0000026	0.0000009	0.0000011	0.0000011	0.0002742	0.5518710
950	0.0000041	0.0000070	0.0000023	0.0000008	0.0000012	0.0000010	0.0000044	0.5309050
952.5	0.0000050	0.0000061	0.0000021	0.0000008	0.0000010	0.0000010	0.0000032	0.5116300
955	0.0000054	0.0000064	0.0000029	0.0000009	0.0000013	0.0000008	0.0000029	0.4936670
957.5	0.0000060	0.0000069	0.0000024	0.0000009	0.0000010	0.0000007	0.0000022	0.4741180
960	0.0000054	0.0000074	0.0000022	0.0000006	0.0000011	0.0000008	0.0000020	0.4543110
962.5	0.0000064	0.0000090	0.0000022	0.0000010	0.0000009	0.0000006	0.0000015	0.4377660
965	0.0000054	0.0000105	0.0000020	0.0000009	0.0000008	0.0000007	0.0000011	0.4214490
967.5	0.0000049	0.0000120	0.0000018	0.0000007	0.0000007	0.0000005	0.0000010	0.4060470
970	0.0000044	0.0000136	0.0000018	0.0000009	0.0000007	0.0000006	0.0000011	0.3897410
972.5	0.0000039	0.0000146	0.0000017	0.0000007	0.0000007	0.0000006	0.0000009	0.3766220
975	0.0000037	0.0000152	0.0000015	0.0000007	0.0000008	0.0000007	0.0000009	0.3635170
977.5	0.0000041	0.0000146	0.0000015	0.0000008	0.0000007	0.0000006	0.0000007	0.3498550
980	0.0000039	0.0000128	0.0000012	0.0000009	0.0000007	0.0000007	0.0000007	0.3366970
982.5	0.0000040	0.0000114	0.0000014	0.0000008	0.0000006	0.0000004	0.0000007	0.3269620
985	0.0000046	0.0000094	0.0000014	0.0000010	0.0000006	0.0000004	0.0000007	0.3170800
987.5	0.0000053	0.0000078	0.0000013	0.0000014	0.0000006	0.0000006	0.0000007	0.3058060
990	0.0000049	0.0000063	0.0000012	0.0000015	0.0000005	0.0000004	0.0000004	0.2949200
992.5	0.0000046	0.0000056	0.0000011	0.0000016	0.0000005	0.0000005	0.0000006	0.2822030
995	0.0000042	0.0000053	0.0000013	0.0000018	0.0000005	0.0000005	0.0000007	0.2714390
997.5	0.0000035	0.0000053	0.0000013	0.0000018	0.0000006	0.0000005	0.0000006	0.2608070
1000	0.0000032	0.0000052	0.0000011	0.0000015	0.0000005	0.0000005	0.0000003	0.2509120
1002.5	0.0000026	0.0000054	0.0000013	0.0000014	0.0000006	0.0000004	0.0000005	0.2433730
1005	0.0000024	0.0000053	0.0000014	0.0000012	0.0000005	0.0000004	0.0000005	0.2357340
1007.5	0.0000023	0.0000048	0.0000016	0.0000010	0.0000005	0.0000004	0.0000005	0.2276580
1010	0.0000024	0.0000038	0.0000016	0.0000005	0.0000002	0.0000004	0.0000003	0.2175590
1012.5	0.0000023	0.0000032	0.0000020	0.0000004	0.0000006	0.0000004	0.0000004	0.2087220
1015	0.0000026	0.0000027	0.0000019	0.0000005	0.0000005	0.0000004	0.0000004	0.1985760
1017.5	0.0000030	0.0000022	0.0000018	0.0000004	0.0000004	0.0000004	0.0000003	0.1881520
